"","ID1","ID2"
"1","73","81"
"2","114","56"
"3","85","106"
"4","78","31"
"5","5","38"
"6","54","65"
"7","96","66"
"8","30","89"
"9","122","28"
"10","2","45"
"11","40","33"
"12","61","31"
"13","9","21"
"14","102","106"
"15","50","51"
"16","112","32"
"17","75","49"
"18","68","129"
"19","7","32"
"20","103","34"
"21","67","43"
"22","111","6"
"23","3","106"
"24","35","56"
"25","80","43"
"26","91","15"
"27","37","116"
"28","69","33"
"29","84","57"
"30","90","33"
"31","74","81"
"32","97","34"
"33","36","49"
"34","101","70"
"35","72","31"
"36","39","83"
"37","108","11"
"38","22","129"
"39","94","65"
"40","117","83"
"41","62","24"
"42","98","38"
"43","60","120"
"44","130","109"
"45","125","29"
"46","26","43"
"47","41","46"
"48","118","70"
"49","71","83"
"50","-1","116"
"51","119","11"
"52","14","116"
"53","13","106"
"54","113","12"
"55","82","87"
"56","79","88"
"57","123","51"
"58","55","76"
"59","25","33"
"60","44","21"
"61","20","120"
"62","59","76"
"63","128","129"
"64","105","124"
"65","18","34"
