"","ID1","ID2"
"1","63","31"
"2","73","78"
"3","114","35"
"4","4","16"
"5","85","78"
"6","109","130"
"7","56","35"
"8","47","130"
"9","88","79"
"10","30","36"
"11","107","104"
"12","46","18"
"13","2","45"
"14","6","28"
"15","40","97"
"16","61","31"
"17","76","65"
"18","50","51"
"19","86","11"
"20","110","121"
"21","75","49"
"22","34","1"
"23","27","66"
"24","103","1"
"25","115","108"
"26","33","18"
"27","43","83"
"28","3","102"
"29","77","7"
"30","53","96"
"31","127","78"
"32","42","24"
"33","129","83"
"34","84","57"
"35","74","81"
"36","101","96"
"37","12","105"
"38","39","83"
"39","64","96"
"40","22","68"
"41","95","18"
"42","92","48"
"43","29","69"
"44","124","105"
"45","117","83"
"46","60","79"
"47","125","98"
"48","41","45"
"49","23","24"
"50","71","36"
"51","106","102"
"52","17","96"
"53","70","102"
"54","120","126"
"55","13","18"
"56","100","45"
"57","10","96"
"58","15","91"
"59","52","48"
"60","25","18"
"61","44","21"
"62","20","130"
"63","32","48"
"64","59","62"
"65","128","83"
