"","ID1","ID2"
"1","66","102"
"2","63","15"
"3","31","57"
"4","4","54"
"5","126","19"
"6","56","35"
"7","96","78"
"8","88","79"
"9","122","79"
"10","49","36"
"11","107","74"
"12","46","18"
"13","2","54"
"14","6","130"
"15","61","78"
"16","9","74"
"17","76","65"
"18","50","51"
"19","110","121"
"20","89","83"
"21","27","98"
"22","7","25"
"23","104","83"
"24","103","34"
"25","11","130"
"26","67","130"
"27","33","95"
"28","111","100"
"29","43","83"
"30","45","8"
"31","87","112"
"32","53","25"
"33","16","109"
"34","127","78"
"35","42","24"
"36","37","116"
"37","129","83"
"38","84","57"
"39","101","3"
"40","72","80"
"41","12","130"
"42","64","70"
"43","108","80"
"44","22","68"
"45","38","5"
"46","124","19"
"47","28","130"
"48","62","24"
"49","60","79"
"50","125","29"
"51","106","102"
"52","17","73"
"53","-1","97"
"54","120","57"
"55","13","25"
"56","113","68"
"57","82","68"
"58","10","73"
"59","55","58"
"60","44","21"
"61","20","130"
"62","81","74"
"63","131","93"
"64","32","48"
"65","105","80"
