,ID1,ID2
13,2,45
28,3,102
4,4,16
14,6,28
57,10,96
37,12,105
55,13,18
58,15,91
52,17,96
62,20,130
40,22,68
49,23,24
60,25,18
23,27,66
43,29,69
10,30,9
63,32,48
26,33,18
22,34,1
38,39,83
15,40,97
48,41,45
32,42,24
27,43,83
61,44,21
12,46,18
8,47,130
18,50,36
59,52,48
30,53,96
7,56,35
64,59,62
46,60,79
16,61,31
1,63,1
39,64,96
53,70,102
50,71,36
2,73,78
35,74,81
21,75,49
17,76,65
29,77,7
34,84,31
5,85,78
19,86,11
9,88,79
42,92,48
41,95,18
56,100,45
36,101,96
24,103,1
51,106,102
11,107,57
6,109,130
20,110,121
3,114,35
25,115,108
45,117,83
54,120,126
44,124,105
47,125,98
31,127,78
65,128,104
33,129,83
