,ID1,ID2
4,4,28
21,7,25
14,9,38
24,11,130
41,12,130
56,13,25
55,14,43
60,15,31
32,16,109
54,17,96
57,21,44
45,22,30
20,27,66
63,32,102
19,34,1
30,35,56
39,36,49
42,39,20
12,40,33
51,41,59
34,42,24
27,45,2
10,46,18
7,47,1
2,48,56
11,51,123
8,54,130
61,55,58
48,62,24
1,63,31
43,64,2
5,65,130
18,68,129
35,69,130
52,71,20
38,74,81
15,76,2
29,77,3
59,79,122
31,80,72
23,83,57
36,84,18
28,87,44
37,90,18
33,91,89
46,92,2
13,93,33
47,94,130
49,98,38
65,99,61
40,101,96
22,103,1
64,105,124
53,106,57
9,107,124
44,108,124
16,110,10
26,111,6
17,112,25
58,113,20
3,114,56
25,115,23
6,121,10
50,125,29
62,131,31
