,ID1,ID2
50,-1,116
10,2,45
23,3,10
5,5,38
19,7,32
13,9,21
53,13,106
52,14,116
65,18,34
61,20,120
38,22,106
59,25,33
46,26,43
8,30,89
24,35,56
33,36,49
27,37,116
36,39,83
11,40,33
47,41,46
60,44,129
15,50,51
6,54,65
58,55,76
62,59,76
43,60,120
12,61,31
41,62,24
21,67,43
18,68,129
28,69,21
49,71,83
35,72,31
1,73,81
31,74,81
17,75,49
4,78,31
56,79,88
25,80,33
55,82,87
29,84,57
3,85,106
30,90,33
26,91,15
39,94,65
7,96,66
32,97,43
42,98,38
34,101,70
14,102,106
20,103,34
64,105,124
37,108,11
22,111,6
16,112,32
54,113,12
2,114,56
40,117,83
48,118,70
51,119,11
9,122,34
57,123,51
45,125,29
63,128,129
44,130,109
