,ID1,ID2
32,3,69
5,4,54
10,5,81
15,6,28
24,7,25
46,8,45
17,9,39
57,10,110
27,11,130
54,13,25
59,15,68
33,16,58
52,17,96
60,20,120
55,21,44
44,29,69
2,31,61
61,32,48
29,33,95
40,36,49
35,37,116
42,38,80
50,41,45
31,43,67
14,46,18
20,50,51
11,56,35
49,57,84
62,59,72
47,60,130
45,62,24
1,63,61
6,65,130
53,70,96
3,73,69
38,74,39
18,76,64
9,78,96
58,79,122
56,82,68
26,83,81
21,86,61
12,88,72
23,89,49
37,90,18
34,91,26
43,92,48
16,93,121
39,97,1
65,99,55
41,101,96
19,102,69
25,103,49
64,105,80
51,106,96
13,107,124
8,109,130
30,111,2
22,112,25
4,114,35
28,115,108
48,125,98
7,126,49
63,128,44
36,129,42
