,ID1,ID2
27,3,69
7,5,62
12,6,48
56,10,96
23,11,49
57,15,91
65,18,69
38,19,49
39,22,129
49,23,24
60,25,76
47,26,57
44,28,122
11,30,89
3,31,57
20,34,1
30,35,114
35,36,49
40,38,33
37,39,20
13,40,33
48,41,46
32,42,24
26,43,4
61,44,21
8,47,76
16,50,51
58,52,76
9,54,4
63,59,62
14,61,78
2,63,45
5,65,122
1,66,96
24,67,4
19,68,57
52,70,33
36,72,108
4,73,78
34,74,81
29,77,7
31,80,105
55,82,105
22,83,129
33,84,57
28,87,55
10,88,79
43,94,129
41,95,33
45,98,125
64,99,55
53,100,45
15,102,69
21,103,1
51,106,96
6,109,57
17,110,27
25,111,76
18,112,62
54,113,20
50,118,33
59,123,51
42,124,1
46,130,20
62,131,93
