,ID1,ID2
51,-1,40
6,5,38
16,6,28
21,7,97
17,9,38
57,10,110
54,14,97
50,17,96
37,19,36
55,21,97
47,23,24
59,25,18
12,30,36
1,31,61
62,32,13
20,34,97
32,37,116
36,39,44
46,41,63
31,42,24
25,45,2
15,46,18
9,47,65
3,48,83
14,49,36
58,52,76
28,53,33
10,54,65
7,56,35
45,57,83
63,59,76
43,60,79
42,62,24
24,67,43
52,70,33
2,73,116
35,74,107
27,77,69
5,78,96
29,80,72
60,81,61
56,82,68
4,85,61
26,87,44
11,88,108
19,89,83
34,90,18
30,91,15
39,92,2
38,95,33
65,99,79
23,103,18
22,104,84
64,105,11
49,106,102
18,112,55
41,117,83
48,118,33
53,119,11
8,121,110
13,122,79
40,124,108
33,129,20
44,130,109
61,131,93
